question,expected_answer,source_file,page_number
What is the fee for filing an RTI application?,The fee for filing an RTI application is Rs. 10 for the Central Government. Below Poverty Line (BPL) applicants are exempted from paying any fee.,RTI_Act_2005.txt,1
Within how many days should an RTI request be responded to?,A response to an RTI request must be provided within 30 days of receipt. If the life or liberty of a person is involved the response must be given within 48 hours.,RTI_Act_2005.txt,1
What is the penalty for a public information officer who refuses to receive an application?,The Central or State Information Commission shall impose a penalty of two hundred and fifty rupees each day till the application is received or information is furnished up to a maximum limit of twenty-five thousand rupees.,RTI_Act_2005.txt,1
What is the pecuniary jurisdiction of the District Consumer Disputes Redressal Commission?,The District Commission has jurisdiction to entertain complaints where the value of the goods or services paid as consideration does not exceed one crore rupees.,Consumer_Protection_Act_2019.txt,1
Within how many years from the cause of action must a consumer complaint be filed?,A consumer complaint must be filed within 2 years from the date on which the cause of action has arisen.,Consumer_Protection_Act_2019.txt,1
What are the six consumer rights guaranteed under the Consumer Protection Act 2019?,The six rights of a consumer are: 1. Right to Safety 2. Right to be Informed 3. Right to Choose 4. Right to be Heard 5. Right to Seek Redressal and 6. Right to Consumer Education.,Consumer_Protection_Act_2019.txt,1
Which article of the Indian Constitution guarantees equality before law?,Article 14 guarantees equality before the law or the equal protection of the laws within the territory of India.,Fundamental_Rights_India.txt,1
What is the right to education under Article 21A?,Article 21A states that the State shall provide free and compulsory education to all children of the age of six to fourteen years.,Fundamental_Rights_India.txt,1
Why did Dr. B.R. Ambedkar call Article 32 the heart and soul of the Constitution?,Dr. B.R. Ambedkar called Article 32 the heart and soul of the Constitution because it guarantees the right to move the Supreme Court by appropriate proceedings for the enforcement of Fundamental Rights.,Fundamental_Rights_India.txt,1
What does Article 17 of the Indian Constitution abolish?,Article 17 abolishes Untouchability and forbids its practice in any form. The enforcement of any disability arising out of Untouchability is punishable by law.,Fundamental_Rights_India.txt,1
Who has the power to issue writs under Article 32?,The Supreme Court of India has the power to issue directions or orders or writs (including habeas corpus mandamus prohibition quo warranto and certiorari) for the enforcement of Fundamental Rights.,Fundamental_Rights_India.txt,1
What is the maximum value of goods or services for complaints in the State Commission?,The State Commission has jurisdiction to entertain complaints where the value of the goods or services paid as consideration exceeds one crore rupees but does not exceed ten crore rupees.,Consumer_Protection_Act_2019.txt,1
What is the fee for inspection of records under RTI?,There is no fee for the first hour of inspection of records; a fee of Rs. 5 is charged for each subsequent hour.,RTI_Act_2005.txt,1
What is the penalty for manufacturing spurious goods that cause injury?,If manufacturing spurious goods causes injury the penalty includes imprisonment up to 7 years and a fine up to Rs. 5 lakhs. If it causes death or grievous hurt it is punishable with imprisonment from 7 years to life and a fine from 5 to 10 lakhs.,Consumer_Protection_Act_2019.txt,1
What is Article 21 of the Indian Constitution?,Article 21 states that no person shall be deprived of his life or personal liberty except according to procedure established by law. It includes rights like privacy livelihood and health.,Fundamental_Rights_India.txt,1
